prefix_length,Architecture Type,count,mean,std,min,25%,50%,75%,max
0,Hierarchical ReLU,1.0,2825.788271188736,,2825.788271188736,2825.788271188736,2825.788271188736,2825.788271188736,2825.788271188736
0,Hierarchical TE,1.0,7354.588309383393,,7354.588309383393,7354.588309383393,7354.588309383393,7354.588309383393,7354.588309383393
0,Single ReLU,1.0,2417.0096060752867,,2417.0096060752867,2417.0096060752867,2417.0096060752867,2417.0096060752867,2417.0096060752867
0,Single TE,1.0,3814.379132652283,,3814.379132652283,3814.379132652283,3814.379132652283,3814.379132652283,3814.379132652283
Lmax,Hierarchical ReLU,1.0,2938.3329345703123,,2938.3329345703123,2938.3329345703123,2938.3329345703123,2938.3329345703123,2938.3329345703123
Lmax,Hierarchical TE,1.0,6946.596225404739,,6946.596225404739,6946.596225404739,6946.596225404739,6946.596225404739,6946.596225404739
Lmax,Single ReLU,1.0,2317.409527587891,,2317.409527587891,2317.409527587891,2317.409527587891,2317.409527587891,2317.409527587891
Lmax,Single TE,1.0,4131.066628885269,,4131.066628885269,4131.066628885269,4131.066628885269,4131.066628885269,4131.066628885269
L̅,Hierarchical ReLU,1.0,2933.221052789688,,2933.221052789688,2933.221052789688,2933.221052789688,2933.221052789688,2933.221052789688
L̅,Hierarchical TE,1.0,6529.911496353149,,6529.911496353149,6529.911496353149,6529.911496353149,6529.911496353149,6529.911496353149
L̅,Single ReLU,1.0,2364.73269739151,,2364.73269739151,2364.73269739151,2364.73269739151,2364.73269739151,2364.73269739151
L̅,Single TE,1.0,3999.178962421417,,3999.178962421417,3999.178962421417,3999.178962421417,3999.178962421417,3999.178962421417
L̅/ 2,Hierarchical ReLU,1.0,2933.286600589752,,2933.286600589752,2933.286600589752,2933.286600589752,2933.286600589752,2933.286600589752
L̅/ 2,Hierarchical TE,1.0,6703.543098211288,,6703.543098211288,6703.543098211288,6703.543098211288,6703.543098211288,6703.543098211288
L̅/ 2,Single ReLU,1.0,2385.482357120514,,2385.482357120514,2385.482357120514,2385.482357120514,2385.482357120514,2385.482357120514
L̅/ 2,Single TE,1.0,3948.287768507004,,3948.287768507004,3948.287768507004,3948.287768507004,3948.287768507004,3948.287768507004
