prefix_length,Architecture Type,count,mean,std,min,25%,50%,75%,max
0,Hierarchical ReLU,1.0,0.7718037661050545,,0.7718037661050545,0.7718037661050545,0.7718037661050545,0.7718037661050545,0.7718037661050545
0,Hierarchical TE,1.0,0.7687685827552032,,0.7687685827552032,0.7687685827552032,0.7687685827552032,0.7687685827552032,0.7687685827552032
0,Hierarchical biLSTM,1.0,0.7802898909811695,,0.7802898909811695,0.7802898909811695,0.7802898909811695,0.7802898909811695,0.7802898909811695
0,Single ReLU,1.0,0.7707507433102081,,0.7707507433102081,0.7707507433102081,0.7707507433102081,0.7707507433102081,0.7707507433102081
0,Single TE,1.0,0.772175421209118,,0.772175421209118,0.772175421209118,0.772175421209118,0.772175421209118,0.772175421209118
0,Single biLSTM,1.0,0.7703171456888008,,0.7703171456888008,0.7703171456888008,0.7703171456888008,0.7703171456888008,0.7703171456888008
Lmax,Hierarchical ReLU,1.0,0.8338701684836471,,0.8338701684836471,0.8338701684836471,0.8338701684836471,0.8338701684836471,0.8338701684836471
Lmax,Hierarchical TE,1.0,0.8235877106045589,,0.8235877106045589,0.8235877106045589,0.8235877106045589,0.8235877106045589,0.8235877106045589
Lmax,Hierarchical biLSTM,1.0,0.8191897918731417,,0.8191897918731417,0.8191897918731417,0.8191897918731417,0.8191897918731417,0.8191897918731417
Lmax,Single ReLU,1.0,0.8289147670961348,,0.8289147670961348,0.8289147670961348,0.8289147670961348,0.8289147670961348,0.8289147670961348
Lmax,Single TE,1.0,0.815101585728444,,0.815101585728444,0.815101585728444,0.815101585728444,0.815101585728444,0.815101585728444
Lmax,Single biLSTM,1.0,0.817703171456888,,0.817703171456888,0.817703171456888,0.817703171456888,0.817703171456888,0.817703171456888
L̅,Hierarchical ReLU,1.0,0.833374628344896,,0.833374628344896,0.833374628344896,0.833374628344896,0.833374628344896,0.833374628344896
L̅,Hierarchical TE,1.0,0.8186942517343905,,0.8186942517343905,0.8186942517343905,0.8186942517343905,0.8186942517343905,0.8186942517343905
L̅,Hierarchical biLSTM,1.0,0.8286669970267592,,0.8286669970267592,0.8286669970267592,0.8286669970267592,0.8286669970267592,0.8286669970267592
L̅,Single ReLU,1.0,0.8295341922695738,,0.8295341922695738,0.8295341922695738,0.8295341922695738,0.8295341922695738,0.8295341922695738
L̅,Single TE,1.0,0.828171456888008,,0.828171456888008,0.828171456888008,0.828171456888008,0.828171456888008,0.828171456888008
L̅,Single biLSTM,1.0,0.8230921704658077,,0.8230921704658077,0.8230921704658077,0.8230921704658077,0.8230921704658077,0.8230921704658077
L̅/ 2,Hierarchical ReLU,1.0,0.8199331020812686,,0.8199331020812686,0.8199331020812686,0.8199331020812686,0.8199331020812686,0.8199331020812686
L̅/ 2,Hierarchical TE,1.0,0.8222249752229931,,0.8222249752229931,0.8222249752229931,0.8222249752229931,0.8222249752229931,0.8222249752229931
L̅/ 2,Hierarchical biLSTM,1.0,0.807358771060456,,0.807358771060456,0.807358771060456,0.807358771060456,0.807358771060456,0.807358771060456
L̅/ 2,Single ReLU,1.0,0.8201808721506442,,0.8201808721506442,0.8201808721506442,0.8201808721506442,0.8201808721506442,0.8201808721506442
L̅/ 2,Single TE,1.0,0.8140485629335976,,0.8140485629335976,0.8140485629335976,0.8140485629335976,0.8140485629335976,0.8140485629335976
L̅/ 2,Single biLSTM,1.0,0.8117566897918731,,0.8117566897918731,0.8117566897918731,0.8117566897918731,0.8117566897918731,0.8117566897918731
