prefix_length,Architecture Type,count,mean,std,min,25%,50%,75%,max
0,Hierarchical ReLU,1.0,41.65456190109253,,41.65456190109253,41.65456190109253,41.65456190109253,41.65456190109253,41.65456190109253
0,Hierarchical TE,1.0,95.8270700931549,,95.8270700931549,95.8270700931549,95.8270700931549,95.8270700931549,95.8270700931549
0,Hierarchical biLSTM,1.0,220.20354619026185,,220.20354619026185,220.20354619026185,220.20354619026185,220.20354619026185,220.20354619026185
0,Single ReLU,1.0,32.97458925247192,,32.97458925247192,32.97458925247192,32.97458925247192,32.97458925247192,32.97458925247192
0,Single TE,1.0,55.22778282165528,,55.22778282165528,55.22778282165528,55.22778282165528,55.22778282165528,55.22778282165528
0,Single biLSTM,1.0,87.49467630386353,,87.49467630386353,87.49467630386353,87.49467630386353,87.49467630386353,87.49467630386353
Lmax,Hierarchical ReLU,1.0,43.11765632629395,,43.11765632629395,43.11765632629395,43.11765632629395,43.11765632629395,43.11765632629395
Lmax,Hierarchical TE,1.0,97.92662100791932,,97.92662100791932,97.92662100791932,97.92662100791932,97.92662100791932,97.92662100791932
Lmax,Hierarchical biLSTM,1.0,1198.564067029953,,1198.564067029953,1198.564067029953,1198.564067029953,1198.564067029953,1198.564067029953
Lmax,Single ReLU,1.0,34.07572236061096,,34.07572236061096,34.07572236061096,34.07572236061096,34.07572236061096,34.07572236061096
Lmax,Single TE,1.0,56.669044494628906,,56.669044494628906,56.669044494628906,56.669044494628906,56.669044494628906,56.669044494628906
Lmax,Single biLSTM,1.0,527.4718501091004,,527.4718501091004,527.4718501091004,527.4718501091004,527.4718501091004,527.4718501091004
L̅,Hierarchical ReLU,1.0,42.520429611206055,,42.520429611206055,42.520429611206055,42.520429611206055,42.520429611206055,42.520429611206055
L̅,Hierarchical TE,1.0,97.79356722831726,,97.79356722831726,97.79356722831726,97.79356722831726,97.79356722831726,97.79356722831726
L̅,Hierarchical biLSTM,1.0,486.386130809784,,486.386130809784,486.386130809784,486.386130809784,486.386130809784,486.386130809784
L̅,Single ReLU,1.0,33.95496463775635,,33.95496463775635,33.95496463775635,33.95496463775635,33.95496463775635,33.95496463775635
L̅,Single TE,1.0,56.99192767143249,,56.99192767143249,56.99192767143249,56.99192767143249,56.99192767143249,56.99192767143249
L̅,Single biLSTM,1.0,179.7553729534149,,179.7553729534149,179.7553729534149,179.7553729534149,179.7553729534149,179.7553729534149
L̅/ 2,Hierarchical ReLU,1.0,42.371444129943846,,42.371444129943846,42.371444129943846,42.371444129943846,42.371444129943846,42.371444129943846
L̅/ 2,Hierarchical TE,1.0,96.90930981636048,,96.90930981636048,96.90930981636048,96.90930981636048,96.90930981636048,96.90930981636048
L̅/ 2,Hierarchical biLSTM,1.0,312.0378504276276,,312.0378504276276,312.0378504276276,312.0378504276276,312.0378504276276,312.0378504276276
L̅/ 2,Single ReLU,1.0,33.447741413116454,,33.447741413116454,33.447741413116454,33.447741413116454,33.447741413116454,33.447741413116454
L̅/ 2,Single TE,1.0,55.95621910095215,,55.95621910095215,55.95621910095215,55.95621910095215,55.95621910095215,55.95621910095215
L̅/ 2,Single biLSTM,1.0,119.90473890304564,,119.90473890304564,119.90473890304564,119.90473890304564,119.90473890304564,119.90473890304564
