,context-size,context_columns,dateset,accuracy,precision,fscore,recall,training_time,model_type,prefix_length,Embedding
0,1,['org:resource'],road_traffic_fine_management_process,0.8099975675018244,0.6787698362618348,0.732094520467192,0.8099975675018244,2153.6139583587646,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
1,1,['org:resource'],bpi_challenge_2017,0.9037322892216653,0.8734256400786301,0.8799651094965101,0.9037322892216653,2364.73269739151,dense-single,Average Case Length,With Embedding
2,1,['org:resource'],bpi_challenge_2017,0.8565636221381739,0.8188820225174336,0.8303719878961052,0.8565636221381739,6060.008304929734,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
3,1,['org:group'],sepsis,0.6486371681415929,0.6278870821759951,0.6072093489782133,0.6486371681415929,29.2626935005188,dense-single,Average Case Length,With Embedding
4,1,['org:group'],sepsis,0.5818053097345133,0.5248565127234128,0.5192339878164909,0.5818053097345133,109.77921175956726,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
5,1,['Resource'],helpdesk,0.8117618990814744,0.758232721298904,0.7628510428234415,0.8117618990814744,97.79356722831726,transformer-multiple,Average Case Length,With Embedding
6,1,['org:role'],bpi_challenge_2020,0.828171456888008,0.7781482763450054,0.7900118276067472,0.828171456888008,147.33854374885559,transformer-single,Average Case Length,With Embedding
7,1,['Resource'],helpdesk,0.8103900751520935,0.7845280253584656,0.7735804661029565,0.8103900751520935,179.7553729534149,bi-lstm-single,Average Case Length,With Embedding
8,1,['Resource'],helpdesk,0.8136108791602051,0.7913186443805631,0.7677193329043568,0.8136108791602051,486.38613080978394,bi-lstm-multiple,Average Case Length,With Embedding
9,1,['org:role'],bpi_challenge_2020,0.7474603567888999,0.7097834891284841,0.7030409512347223,0.7474603567888999,127.28479504585266,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
