,context-size,context_columns,dateset,accuracy,precision,fscore,recall,training_time,model_type,prefix_length,Embedding
0,1,['org:resource'],Traffic Fines,0.8099975675018244,0.6787698362618348,0.732094520467192,0.8099975675018244,2153.6139583587646,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
1,1,['org:resource'],BPIC17,0.9037322892216653,0.8734256400786301,0.8799651094965101,0.9037322892216653,2364.73269739151,dense-single,Average Case Length,With Embedding
2,1,['org:resource'],BPIC17,0.8565636221381739,0.8188820225174336,0.8303719878961052,0.8565636221381739,6060.008304929734,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
3,1,['org:group'],Sepsis,0.6486371681415929,0.6278870821759951,0.6072093489782133,0.6486371681415929,29.2626935005188,dense-single,Average Case Length,With Embedding
4,1,['org:group'],Sepsis,0.5818053097345133,0.5248565127234128,0.5192339878164909,0.5818053097345133,109.77921175956726,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
5,1,['Resource'],Helpdesk,0.8117618990814744,0.758232721298904,0.7628510428234415,0.8117618990814744,97.79356722831726,transformer-multiple,Average Case Length,With Embedding
6,1,['Resource'],Helpdesk,0.8103900751520935,0.7845280253584656,0.7735804661029565,0.8103900751520935,179.7553729534149,bi-lstm-single,Average Case Length,With Embedding
7,1,['Resource'],Helpdesk,0.8136108791602051,0.7913186443805631,0.7677193329043568,0.8136108791602051,486.38613080978394,bi-lstm-multiple,Average Case Length,With Embedding
8,1,['org:role'],BPIC20p,0.7474603567888999,0.7097834891284841,0.7030409512347223,0.7474603567888999,127.28479504585266,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
9,1,['org:resource'],Traffic Fines,0.8091510581367064,0.678394588135036,0.731550437004079,0.8091510581367064,3057.1965388298036,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
10,1,['org:group'],Sepsis,0.6435398230088496,0.6274630820204978,0.6067360583140401,0.6435398230088496,48.67826166152954,transformer-single,Average Case Length,With Embedding
11,1,['org:resource'],Traffic Fines,0.8112551690586232,0.6863475457753753,0.7335136867972953,0.8112551690586232,1304.7856090068817,transformer-single,Average Case Length,With Embedding
12,1,['org:resource'],Traffic Fines,0.8113962539528096,0.6834931807126546,0.7335778356168714,0.8113962539528096,1030.5704287052154,dense-multiple,Average Case Length,With Embedding
13,0,[],Helpdesk,0.7962543242276034,0.7438565521080108,0.7352522572955482,0.7962543242276034,51.47999019622803,transformer-single,Average Case Length,With Embedding
14,1,['org:resource'],BPIC17,0.8769914482607819,0.8381876614759121,0.85129159915407,0.8769914482607819,8715.578778028488,dense-multiple-without-token-position-embedding,Average Case Length,Without Embedding
15,1,['org:group'],Sepsis,0.528070796460177,0.4657060679378594,0.46612480007577844,0.528070796460177,76.48804574012756,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
16,1,['org:group'],Sepsis,0.6433982300884956,0.6346282444109368,0.606044470880122,0.6433982300884956,36.43435559272766,dense-multiple,Average Case Length,With Embedding
17,1,['org:resource'],BPIC17,0.9043515472053955,0.8740613317556675,0.8802685081655981,0.9043515472053955,2933.221052789688,dense-multiple,Average Case Length,With Embedding
18,1,['org:role'],BPIC20p,0.7263999008919723,0.6725888148904411,0.6758800662898135,0.7263999008919723,87.7594036102295,dense-single-without-token-position-embedding,Average Case Length,Without Embedding
