,context-size,context_columns,dateset,accuracy,precision,fscore,recall,training_time,model_type,token_type,input_dimension
31,1,['org:group'],sepsis,0.6490696668109044,0.6357845544260315,0.6045655121170208,0.6490696668109044,89.03137254714966,dense-multiple,Without History,15
32,1,['workgroup'],helpdesk,0.7965525468209471,0.716819214427206,0.7365351362115545,0.7965525468209471,296.88604407310487,transformer-multiple,Max Case Length,MAX
33,1,['customer'],helpdesk,0.7942264105928665,0.7160697599224589,0.7289308183217305,0.7942264105928665,208.01751670837402,dense-multiple,Without History,MAX
34,1,['seriousness'],helpdesk,0.7945246331862101,0.7186367057801694,0.7297855870789755,0.7945246331862101,199.01208276748656,transformer-single,Max Case Length,MAX
35,1,['org:group'],sepsis,0.5430088495575222,0.5010521661077562,0.4719555381574729,0.5430088495575222,230.40496363639832,transformer-multiple,Without History,MAX
36,1,['Resource'],helpdesk,0.8016642720306514,0.7644216848402976,0.7463954212144532,0.8016642720306514,182.59010496139527,transformer-multiple,Without History,8
37,1,['seriousness'],helpdesk,0.7953596564475724,0.7184502059831408,0.7320097377687623,0.7953596564475724,198.12026467323304,transformer-single,Without History,MAX
38,1,['customer'],helpdesk,0.7968507694142908,0.7581458381854264,0.7511082645444093,0.7968507694142908,299.1821475982666,transformer-multiple,Max Case Length,MAX
39,1,['org:group'],sepsis,0.5853451327433629,0.5600366366008392,0.5364135081564824,0.5853451327433629,166.0211908340454,dense-multiple,Max Case Length,MAX
40,0,[],helpdesk,0.7917809853274484,0.7188909532223348,0.7301604562459619,0.7917809853274484,182.37925062179565,transformer-single,Without History,MAX
41,1,['seriousness'],helpdesk,0.7931528092568293,0.7172136333464825,0.7312176559586915,0.7931528092568293,188.30297293663025,transformer-single,Max Case Length,MAX
42,1,['workgroup'],helpdesk,0.7941667660741978,0.7169713333815734,0.7344473705977583,0.7941667660741978,213.85004959106445,dense-multiple,Max Case Length,MAX
43,0,[],helpdesk,0.796455938697318,0.7448412357602887,0.732984628051051,0.796455938697318,122.15322604179383,transformer-single,Without History,8
44,1,['seriousness'],helpdesk,0.792317785995467,0.717715008524693,0.728615691444443,0.792317785995467,293.06562781333923,transformer-multiple,Without History,MAX
45,1,['Resource'],helpdesk,0.8096743409280687,0.7324230338169215,0.7550451746991603,0.8096743409280687,186.1719530582428,transformer-single,Max Case Length,MAX
46,1,['Resource'],helpdesk,0.8096146964094,0.7298847738387675,0.7545898103583506,0.8096146964094,200.8088577747345,transformer-single,Max Case Length,MAX
47,1,['Resource'],helpdesk,0.8005866858237548,0.7254923978127784,0.7462921292476196,0.8005866858237548,127.94286642074584,dense-multiple,Max Case Length,8
48,1,['Resource'],helpdesk,0.7986111111111112,0.7224058305287049,0.7413274256895582,0.7986111111111112,122.11049308776856,transformer-single,Without History,8
49,1,['Resource'],helpdesk,0.8006680186090899,0.7476489522598763,0.7435261653285121,0.8006680186090899,297.37436785697935,transformer-multiple,Without History,MAX
