,context-size,context_columns,prefix_index,dateset,accuracy,precision,fscore,recall,model_type,prefix_length
0,1,['org:group'],1,sepsis,0.9170638703527169,0.8651762785690402,0.8871272435602909,0.9170638703527169,dense-single,7
1,1,['org:group'],10,sepsis,0.6581196581196581,0.6233862639727936,0.6284298281333154,0.6581196581196581,dense-single,7
2,1,['org:group'],11,sepsis,0.5460122699386503,0.5773111058758155,0.5328924913379512,0.5460122699386503,dense-single,7
3,1,['org:group'],12,sepsis,0.5456140350877193,0.5183685520765478,0.5218920123574671,0.5456140350877193,dense-single,7
4,1,['org:group'],13,sepsis,0.5504201680672269,0.5242097501936851,0.5174987353840087,0.5504201680672269,dense-single,7
5,1,['org:group'],14,sepsis,0.6095717884130982,0.592388886974417,0.5858649612019052,0.6095717884130982,dense-single,7
6,1,['org:group'],15,sepsis,0.5851393188854489,0.5570888763688125,0.5600109481639104,0.5851393188854489,dense-single,7
7,1,['org:group'],16,sepsis,0.5433070866141733,0.48098050243719537,0.5027526837580611,0.5433070866141733,dense-single,7
8,1,['org:group'],17,sepsis,0.5943396226415094,0.5879114416516286,0.5648112701296663,0.5943396226415094,dense-single,7
9,1,['org:group'],18,sepsis,0.6132596685082873,0.5798987646160216,0.5834945218744898,0.6132596685082873,dense-single,7
10,1,['org:group'],19,sepsis,0.51875,0.45996854217642263,0.46730393794111935,0.51875,dense-single,7
11,1,['org:group'],2,sepsis,0.8636796949475691,0.8157602949245175,0.8217840591516938,0.8636796949475691,dense-single,7
12,1,['org:group'],20,sepsis,0.6170212765957447,0.5656989582521498,0.5840058988532625,0.6170212765957447,dense-single,7
13,1,['org:group'],3,sepsis,0.40532544378698226,0.44172951650403935,0.3126493800145614,0.40532544378698226,dense-single,7
14,1,['org:group'],4,sepsis,0.6130306021717671,0.6435302948637865,0.571482212986516,0.6130306021717671,dense-single,7
15,1,['org:group'],5,sepsis,0.7573529411764706,0.7172844462186915,0.7270489250497404,0.7573529411764706,dense-single,7
16,1,['org:group'],6,sepsis,0.6771739130434783,0.6835307195313535,0.6201603336600571,0.6771739130434783,dense-single,7
17,1,['org:group'],7,sepsis,0.8309070548712206,0.8192258275891788,0.8107619243480397,0.8309070548712206,dense-single,7
18,1,['org:group'],8,sepsis,0.7793190416141236,0.735812318374,0.7454820612486218,0.7793190416141236,dense-single,7
19,1,['org:group'],9,sepsis,0.4242021276595745,0.3993947735863385,0.39568624273834946,0.4242021276595745,dense-single,7
