,context-size,context_columns,prefix_index,dateset,accuracy,precision,fscore,recall,model_type,prefix_length
0,1,['org:role'],1,bpi_challenge_2020,0.8281622911694511,0.766481998655618,0.7847141213588295,0.8281622911694511,transformer-single,4
1,1,['org:role'],10,bpi_challenge_2020,0.9150141643059491,0.9036827195467421,0.9052464277550333,0.9150141643059491,transformer-single,4
2,1,['org:role'],11,bpi_challenge_2020,0.8986486486486487,0.8796851796851797,0.883411692622219,0.8986486486486487,transformer-single,4
3,1,['org:role'],12,bpi_challenge_2020,0.8956521739130435,0.8640993788819875,0.8728705454036266,0.8956521739130435,transformer-single,4
4,1,['org:role'],13,bpi_challenge_2020,0.855072463768116,0.8376811594202899,0.8442028985507246,0.855072463768116,transformer-single,4
5,1,['org:role'],14,bpi_challenge_2020,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,transformer-single,4
6,1,['org:role'],15,bpi_challenge_2020,1.0,1.0,1.0,1.0,transformer-single,4
7,1,['org:role'],16,bpi_challenge_2020,1.0,1.0,1.0,1.0,transformer-single,4
8,1,['org:role'],17,bpi_challenge_2020,0.75,0.75,0.75,0.75,transformer-single,4
9,1,['org:role'],18,bpi_challenge_2020,1.0,1.0,1.0,1.0,transformer-single,4
10,1,['org:role'],19,bpi_challenge_2020,1.0,1.0,1.0,1.0,transformer-single,4
11,1,['org:role'],2,bpi_challenge_2020,0.4562828475871954,0.24586634649075959,0.30874296955983865,0.4562828475871954,transformer-single,4
12,1,['org:role'],20,bpi_challenge_2020,1.0,1.0,1.0,1.0,transformer-single,4
13,1,['org:role'],21,bpi_challenge_2020,0.8140485629335976,0.7665063938357372,0.7715694358687462,0.8140485629335976,transformer-single,4
14,1,['org:role'],3,bpi_challenge_2020,0.8521739130434782,0.8351582116424036,0.8209718764250733,0.8521739130434782,transformer-single,4
15,1,['org:role'],4,bpi_challenge_2020,0.8148510014655593,0.757778093216182,0.7712753578659504,0.8148510014655593,transformer-single,4
16,1,['org:role'],5,bpi_challenge_2020,0.8553104155977425,0.8628110247095068,0.8411093144288557,0.8553104155977425,transformer-single,4
17,1,['org:role'],6,bpi_challenge_2020,0.8737201365187713,0.8728574638812691,0.8409225954768788,0.8737201365187713,transformer-single,4
18,1,['org:role'],7,bpi_challenge_2020,0.9316843345111896,0.9049626460991633,0.915942300911807,0.9316843345111896,transformer-single,4
19,1,['org:role'],8,bpi_challenge_2020,0.9247083775185578,0.9314518512779185,0.922332765463912,0.9247083775185578,transformer-single,4
20,1,['org:role'],9,bpi_challenge_2020,0.9248322147651007,0.9136903411057345,0.9130316479196007,0.9248322147651007,transformer-single,4
21,1,['org:group'],1,sepsis,0.9170638703527169,0.8651762785690402,0.8871272435602909,0.9170638703527169,dense-single,7
22,1,['org:group'],10,sepsis,0.6581196581196581,0.6233862639727936,0.6284298281333154,0.6581196581196581,dense-single,7
23,1,['org:group'],11,sepsis,0.5460122699386503,0.5773111058758155,0.5328924913379512,0.5460122699386503,dense-single,7
24,1,['org:group'],12,sepsis,0.5456140350877193,0.5183685520765478,0.5218920123574671,0.5456140350877193,dense-single,7
25,1,['org:group'],13,sepsis,0.5504201680672269,0.5242097501936851,0.5174987353840087,0.5504201680672269,dense-single,7
26,1,['org:group'],14,sepsis,0.6095717884130982,0.592388886974417,0.5858649612019052,0.6095717884130982,dense-single,7
27,1,['org:group'],15,sepsis,0.5851393188854489,0.5570888763688125,0.5600109481639104,0.5851393188854489,dense-single,7
28,1,['org:group'],16,sepsis,0.5433070866141733,0.48098050243719537,0.5027526837580611,0.5433070866141733,dense-single,7
29,1,['org:group'],17,sepsis,0.5943396226415094,0.5879114416516286,0.5648112701296663,0.5943396226415094,dense-single,7
30,1,['org:group'],18,sepsis,0.6132596685082873,0.5798987646160216,0.5834945218744898,0.6132596685082873,dense-single,7
31,1,['org:group'],19,sepsis,0.51875,0.45996854217642263,0.46730393794111935,0.51875,dense-single,7
32,1,['org:group'],2,sepsis,0.8636796949475691,0.8157602949245175,0.8217840591516938,0.8636796949475691,dense-single,7
33,1,['org:group'],20,sepsis,0.6170212765957447,0.5656989582521498,0.5840058988532625,0.6170212765957447,dense-single,7
34,1,['org:group'],21,sepsis,0.525,0.48353174603174603,0.48810179942081383,0.525,dense-single,7
35,1,['org:group'],22,sepsis,0.5333333333333333,0.510578231292517,0.5050414236840981,0.5333333333333333,dense-single,7
36,1,['org:group'],23,sepsis,0.5777777777777777,0.5615211640211639,0.5473044186087664,0.5777777777777777,dense-single,7
37,1,['org:group'],24,sepsis,0.5060240963855421,0.46692223439211394,0.4732097887014228,0.5060240963855421,dense-single,7
38,1,['org:group'],25,sepsis,0.45454545454545453,0.4560177917320774,0.4417509152421299,0.45454545454545453,dense-single,7
39,1,['org:group'],26,sepsis,0.7162162162162162,0.739993564993565,0.712912233500469,0.7162162162162162,dense-single,7
40,1,['org:group'],27,sepsis,0.5588235294117647,0.5452847805788982,0.5398297780650722,0.5588235294117647,dense-single,7
41,1,['org:group'],28,sepsis,0.671875,0.6709077380952381,0.6572216845654346,0.671875,dense-single,7
42,1,['org:group'],29,sepsis,0.6909090909090909,0.5906493506493505,0.624054834054834,0.6909090909090909,dense-single,7
43,1,['org:group'],3,sepsis,0.40532544378698226,0.44172951650403935,0.3126493800145614,0.40532544378698226,dense-single,7
44,1,['org:group'],30,sepsis,0.46808510638297873,0.43829787234042555,0.4264437689969605,0.46808510638297873,dense-single,7
45,1,['org:group'],31,sepsis,0.5714285714285714,0.5492063492063493,0.5473922902494331,0.5714285714285714,dense-single,7
