,context-size,context_columns,dateset,accuracy,precision,fscore,recall,training_time,model_type,prefix_length
0,1,['org:role'],bpi_challenge_2020,0.8140485629335976,0.7665063938357372,0.7715694358687462,0.8140485629335976,112.40287251472473,transformer-single,Average Case Length / 2
1,1,['org:group'],sepsis,0.6537345132743363,0.6375357636998784,0.6184449874566404,0.6537345132743363,29.076650953292848,dense-single,Average Case Length / 2
2,1,['org:role'],bpi_challenge_2020,0.8201808721506442,0.7643503221696555,0.7760834501128487,0.8201808721506442,30.56902151107788,dense-single,Average Case Length / 2
3,1,['org:resource'],bpi_challenge_2017,0.9037322892216653,0.8734256400786301,0.8799651094965101,0.9037322892216653,2364.73269739151,dense-single,Average Case Length
4,1,['Resource'],helpdesk,0.8077060718120005,0.7758108948766994,0.7587999655471446,0.8077060718120005,42.371444129943846,dense-multiple,Average Case Length / 2
5,1,['org:resource'],road_traffic_fine_management_process,0.7795451228411578,0.660662541597335,0.7055931212862762,0.7795451228411578,1284.9847903728485,transformer-single,Without prefix
6,1,['org:role'],bpi_challenge_2020,0.8117566897918731,0.7690174414020801,0.7731884296229602,0.8117566897918731,90.47010340690613,bi-lstm-single,Average Case Length / 2
7,1,['org:group'],sepsis,0.5407433628318584,0.5043532774905751,0.49073886602945677,0.5407433628318584,28.507889986038208,dense-single,Without prefix
8,1,['org:resource'],bpi_challenge_2012,0.6927140620609369,0.6650185658510556,0.6558197690575286,0.6927140620609369,445.61561880111697,dense-single,Without prefix
9,1,['org:group'],sepsis,0.5421592920353983,0.5109181968511317,0.4905549651549377,0.5421592920353983,79.9517231464386,transformer-multiple,Without prefix
10,1,['org:group'],sepsis,0.6486371681415929,0.6278870821759951,0.6072093489782133,0.6486371681415929,29.2626935005188,dense-single,Average Case Length
11,1,['org:resource'],bpi_challenge_2012,0.8593713620488941,0.8321207454797815,0.8289323413912069,0.8593713620488941,459.49311118125917,dense-single,Average Case Length / 2
12,1,['Resource'],helpdesk,0.8117618990814744,0.758232721298904,0.7628510428234415,0.8117618990814744,97.79356722831726,transformer-multiple,Average Case Length
13,1,['org:role'],bpi_challenge_2020,0.8338701684836471,0.7805266922119026,0.7929341441351149,0.8338701684836471,46.94273624420166,dense-multiple,Max Case Length
14,1,['org:role'],bpi_challenge_2020,0.828171456888008,0.7781482763450054,0.7900118276067472,0.828171456888008,147.33854374885559,transformer-single,Average Case Length
15,1,['Resource'],helpdesk,0.8103900751520935,0.7845280253584656,0.7735804661029565,0.8103900751520935,179.7553729534149,bi-lstm-single,Average Case Length
16,1,['Resource'],helpdesk,0.805797447214601,0.7857325414004318,0.7581414890418808,0.805797447214601,312.0378504276276,bi-lstm-multiple,Average Case Length / 2
17,1,['Resource'],helpdesk,0.8136108791602051,0.7913186443805631,0.7677193329043568,0.8136108791602051,486.38613080978394,bi-lstm-multiple,Average Case Length
18,1,['org:role'],bpi_challenge_2020,0.8235877106045589,0.7790855515078525,0.7860676280724257,0.8235877106045589,529.55349984169,transformer-multiple,Max Case Length
19,1,['org:resource'],road_traffic_fine_management_process,0.8116200437849672,0.6890688980751922,0.7341889674822614,0.8116200437849672,996.4745025157929,dense-multiple,Max Case Length
20,1,['org:resource'],road_traffic_fine_management_process,0.7811967891024082,0.6665530071489962,0.7075961364585849,0.7811967891024082,996.4838931560516,dense-multiple,Without prefix
21,1,['org:resource'],bpi_challenge_2012,0.8591786760868693,0.8191654278953309,0.8255740665415036,0.8591786760868693,1295.5329431533814,transformer-multiple,Average Case Length / 2
22,1,['Resource'],helpdesk,0.8049624239532387,0.7762076879836902,0.7580868227914256,0.8049624239532387,55.95621910095215,transformer-single,Average Case Length / 2
23,1,['org:group'],sepsis,0.6435398230088496,0.6274630820204978,0.6067360583140401,0.6435398230088496,48.67826166152954,transformer-single,Average Case Length
24,1,['org:role'],bpi_challenge_2020,0.8295341922695738,0.7745964820286787,0.7886708532076151,0.8295341922695738,32.44879808425903,dense-single,Average Case Length
25,1,['org:role'],bpi_challenge_2020,0.817703171456888,0.7762931225552728,0.7796909948147495,0.817703171456888,290.50924334526064,bi-lstm-single,Max Case Length
26,1,['org:resource'],bpi_challenge_2012,0.8619525510818514,0.8284232920721096,0.8299113497720042,0.8619525510818514,5436.857110500336,bi-lstm-single,Average Case Length / 2
27,1,['Resource'],helpdesk,0.8137898127162114,0.7845757816848093,0.7704493811602114,0.8137898127162114,527.4718501091004,bi-lstm-single,Max Case Length
28,1,['org:resource'],road_traffic_fine_management_process,0.8112551690586232,0.6863475457753753,0.7335136867972953,0.8112551690586232,1304.7856090068817,transformer-single,Average Case Length
29,1,['org:resource'],bpi_challenge_2012,0.6921801613744932,0.6656966087963235,0.6544137973972664,0.6921801613744932,562.9368247509003,dense-multiple,Without prefix
30,1,['org:resource'],road_traffic_fine_management_process,0.778469958647531,0.6675041109573782,0.7056911740738249,0.778469958647531,2232.8697834968566,transformer-multiple,Without prefix
31,1,['org:group'],sepsis,0.6504070796460177,0.641265949982921,0.6157365841938036,0.6504070796460177,391.4886764526367,bi-lstm-single,Average Case Length
32,1,['Resource'],helpdesk,0.8063938924012883,0.7781624872031454,0.7622560803807463,0.8063938924012883,33.447741413116454,dense-single,Average Case Length / 2
33,1,['Resource'],helpdesk,0.8007276631277586,0.7352065242568729,0.7422020872305257,0.8007276631277586,41.65456190109253,dense-multiple,Without prefix
34,1,['org:role'],bpi_challenge_2020,0.772175421209118,0.7150946044346109,0.7271696072698915,0.772175421209118,86.80319948196411,transformer-single,Without prefix
35,1,['org:resource'],bpi_challenge_2017,0.9024066500620113,0.8699679842196879,0.8788844821773127,0.9024066500620113,3948.287768507004,transformer-single,Average Case Length / 2
36,1,['org:resource'],road_traffic_fine_management_process,0.8113962539528096,0.6834931807126546,0.7335778356168714,0.8113962539528096,1030.5704287052154,dense-multiple,Average Case Length
37,1,['org:resource'],road_traffic_fine_management_process,0.8110970566772074,0.6771442329448336,0.732944579122847,0.8110970566772074,2232.3950105667113,transformer-multiple,Average Case Length / 2
